Ticker,option_raw,Expiration,DTE,Side,Strike,Open Interest,Volume,IV,Gamma,Bid,Ask,Last,Delta,Theta,Vega,Source URL Used,Gamma Used,Call GEX,Put GEX,Net GEX,Call GEX Bn,Put GEX Bn,Net GEX Bn
SPY,SPY260507P00684000,2026-05-07,0,put,684.0,244.0,5.0,4.1876,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00685000,2026-05-07,0,call,685.0,21.0,30.0,0.0,0.0,46.98,47.17,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00685000,2026-05-07,0,put,685.0,1211.0,20.0,4.1046,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00686000,2026-05-07,0,call,686.0,70.0,23.0,0.0,0.0,45.98,46.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00686000,2026-05-07,0,put,686.0,585.0,20.0,4.0217,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00687000,2026-05-07,0,call,687.0,11.0,14.0,0.0,0.0,44.98,45.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00687000,2026-05-07,0,put,687.0,413.0,459.0,3.9388,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00688000,2026-05-07,0,call,688.0,19.0,26.0,0.0,0.0,43.98,44.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00688000,2026-05-07,0,put,688.0,2071.0,524.0,3.8559,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00689000,2026-05-07,0,call,689.0,3.0,239.0,0.0,0.0,42.98,43.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00689000,2026-05-07,0,put,689.0,2738.0,538.0,3.7729,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00690000,2026-05-07,0,call,690.0,64.0,247.0,0.0,0.0,41.98,42.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00690000,2026-05-07,0,put,690.0,872.0,515.0,3.69,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00691000,2026-05-07,0,call,691.0,26.0,20.0,0.0,0.0,40.98,41.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00691000,2026-05-07,0,put,691.0,2890.0,1586.0,3.607,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00692000,2026-05-07,0,call,692.0,7.0,32.0,0.0,0.0,39.98,40.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00692000,2026-05-07,0,put,692.0,951.0,2342.0,3.5241,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00693000,2026-05-07,0,call,693.0,6.0,21.0,0.0,0.0,38.98,39.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPY,SPY260507P00693000,2026-05-07,0,put,693.0,356.0,1690.0,3.4411,0.0,0.0,0.01,,0.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
SPY,SPY260507C00694000,2026-05-07,0,call,694.0,3.0,43.0,0.0,0.0,37.98,38.18,,1.0,0.0,0.0,https://cdn.cboe.com/api/global/delayed_quotes/options/SPY.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0
